,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-130959139.784946,0.25233,5101000000.0,-519000000.0,-519000000.0,3129000000.0,323000000.0,10678000000.0,4582000000.0,4259000000.0,-74000000.0,74000000.0,3517040860.215054,3129000000.0,13518000000.0,355972696.0,355972696.0,8.79,8.79,3129000000.0,3129000000.0,0.0,3129000000.0,3129000000.0,3129000000.0,1056000000.0,4185000000.0,-1306000000.0,-519000000.0,-74000000.0,74000000.0,5591000000.0,2840000000.0,,323000000.0,323000000.0,8431000000.0,10678000000.0,19109000000.0,19109000000.0,909856738069.7832
2025-09-30,0.0,0.248328,5161000000.0,,,3596000000.0,314000000.0,17257000000.0,5161000000.0,4847000000.0,826000000.0,63000000.0,3596000000.0,3596000000.0,27515000000.0,,,,,3596000000.0,3596000000.0,0.0,3596000000.0,3596000000.0,3596000000.0,1188000000.0,4784000000.0,6526000000.0,,826000000.0,63000000.0,-1500000000.0,10258000000.0,,314000000.0,313000000.0,8758000000.0,17257000000.0,26015000000.0,26015000000.0,
2025-06-30,0.0,0.253693,3928000000.0,,,2627000000.0,266000000.0,10400000000.0,3928000000.0,3662000000.0,-142000000.0,142000000.0,2627000000.0,2627000000.0,13083000000.0,355962060.0,355962060.0,7.38,7.38,2627000000.0,2627000000.0,0.0,2627000000.0,2627000000.0,2627000000.0,893000000.0,3520000000.0,-1101000000.0,,-142000000.0,142000000.0,4763000000.0,2683000000.0,1626000000.0,266000000.0,266000000.0,7446000000.0,10400000000.0,17846000000.0,17846000000.0,1057599954085.5176
2024-12-31,0.0,0.256895,3369000000.0,0.0,0.0,2317000000.0,207000000.0,7396000000.0,3369000000.0,3162000000.0,-44000000.0,44000000.0,2317000000.0,2317000000.0,9715000000.0,356120505.0,356120505.0,6.506225,6.506225,2317000000.0,2317000000.0,0.0,2317000000.0,2317000000.0,2317000000.0,801000000.0,3118000000.0,-2308000000.0,0.0,-44000000.0,44000000.0,5454000000.0,2319000000.0,,207000000.0,207000000.0,7773000000.0,7396000000.0,15169000000.0,15169000000.0,
2024-06-30,0.0,0.256502,2134000000.0,,,1458000000.0,160000000.0,8629000000.0,2134000000.0,1974000000.0,-13000000.0,13000000.0,1458000000.0,1458000000.0,10961000000.0,356120505.0,356120505.0,4.09412,4.09412,1458000000.0,1458000000.0,0.0,1458000000.0,1458000000.0,1458000000.0,503000000.0,1961000000.0,-1907000000.0,,-13000000.0,13000000.0,3881000000.0,2332000000.0,1907000000.0,160000000.0,160000000.0,6213000000.0,8629000000.0,14842000000.0,14842000000.0,
